date,open,high,low,close,volume
2018-08-22T20:00:00,12355.53,12438.66,12345.32,12385.70,0
2018-08-23T20:00:00,12367.48,12411.01,12353.55,12365.58,0
2018-08-24T20:00:00,12396.69,12444.35,12344.45,12394.52,0
2018-08-27T20:00:00,12462.75,12562.37,12429.34,12538.31,0
2018-08-28T20:00:00,12578.65,12597.02,12527.42,12527.42,0
2018-08-29T20:00:00,12553.86,12569.06,12499.53,12561.68,0
2018-08-30T20:00:00,12516.55,12529.30,12400.12,12494.24,0
2018-08-31T20:00:00,12418.26,12426.86,12348.91,12364.06,0
2018-09-03T20:00:00,12338.36,12358.17,12300.47,12346.41,0
2018-09-04T20:00:00,12389.46,12402.87,12162.71,12210.21,0
2018-09-05T20:00:00,12161.65,12167.36,12035.76,12040.46,0
2018-09-06T20:00:00,11995.81,12091.98,11944.50,11955.25,0
2018-09-07T20:00:00,11960.10,11990.81,11888.57,11959.63,0
2018-09-10T20:00:00,11950.55,12039.22,11930.30,11986.34,0
2018-09-11T20:00:00,12013.01,12017.73,11865.47,11970.27,0
2018-09-12T20:00:00,11989.27,12046.66,11952.49,12032.30,0
2018-09-13T20:00:00,12036.79,12129.81,12017.41,12055.55,0
2018-09-14T20:00:00,12109.37,12134.54,12075.58,12124.33,0
2018-09-17T20:00:00,12056.38,12123.09,12040.80,12096.41,0
2018-09-18T20:00:00,12097.19,12184.41,12064.41,12157.67,0
2018-09-19T20:00:00,12168.20,12241.14,12165.08,12219.02,0
2018-09-20T20:00:00,12210.95,12354.38,12210.57,12326.48,0
2018-09-21T20:00:00,12402.72,12458.30,12373.95,12430.88,0
2018-09-24T20:00:00,12383.42,12409.96,12349.30,12350.82,0
2018-09-25T20:00:00,12341.85,12416.87,12322.19,12374.66,0
2018-09-26T20:00:00,12395.20,12395.92,12329.52,12385.89,0
2018-09-27T20:00:00,12329.40,12456.69,12272.65,12435.59,0
2018-09-28T20:00:00,12381.36,12394.16,12190.57,12246.73,0
2018-10-01T20:00:00,12265.89,12373.29,12263.10,12339.03,0
2018-10-02T20:00:00,12229.07,12310.76,12203.60,12287.58,0
2018-10-04T20:00:00,12275.07,12348.86,12174.69,12244.14,0
2018-10-05T20:00:00,12236.29,12245.41,12103.55,12111.90,0
2018-10-08T20:00:00,12044.96,12072.27,11938.80,11947.16,0
2018-10-09T20:00:00,11963.63,11998.64,11803.19,11977.22,0
2018-10-10T20:00:00,11976.70,11978.80,11712.27,11712.50,0
2018-10-11T20:00:00,11558.98,11700.50,11518.56,11539.35,0
2018-10-12T20:00:00,11691.47,11693.84,11514.55,11523.81,0
2018-10-15T20:00:00,11523.81,11625.02,11459.08,11614.16,0
2018-10-16T20:00:00,11637.62,11790.15,11606.97,11776.55,0
2018-10-17T20:00:00,11811.47,11847.79,11669.96,11715.03,0
2018-10-18T20:00:00,11695.19,11791.22,11586.32,11589.21,0
2018-10-19T20:00:00,11578.85,11617.28,11498.69,11553.83,0
2018-10-22T20:00:00,11665.68,11677.45,11497.09,11524.34,0
2018-10-23T20:00:00,11367.57,11394.21,11228.50,11274.28,0
2018-10-24T20:00:00,11298.65,11391.94,11166.84,11191.63,0
2018-10-25T20:00:00,11098.68,11324.92,11078.37,11307.12,0
2018-10-26T20:00:00,11180.96,11205.83,11051.04,11200.62,0
2018-10-29T20:00:00,11270.67,11444.86,11218.92,11335.48,0
2018-10-30T20:00:00,11391.78,11394.37,11212.58,11287.39,0
2018-10-31T20:00:00,11417.09,11499.38,11391.64,11447.51,0
2018-11-01T20:00:00,11419.61,11575.43,11416.36,11468.54,0
2018-11-02T20:00:00,11636.37,11689.96,11518.87,11518.99,0
2018-11-05T20:00:00,11522.33,11555.97,11479.19,11494.96,0
2018-11-06T20:00:00,11518.17,11528.52,11436.53,11484.34,0
2018-11-07T20:00:00,11542.09,11634.81,11532.34,11579.10,0
2018-11-08T20:00:00,11629.00,11648.79,11503.36,11527.32,0
2018-11-09T20:00:00,11489.19,11549.06,11418.35,11529.16,0
2018-11-12T20:00:00,11591.59,11598.51,11310.72,11325.44,0
2018-11-13T20:00:00,11374.11,11495.69,11349.94,11472.22,0
2018-11-14T20:00:00,11394.75,11566.79,11314.60,11412.53,0
2018-11-15T20:00:00,11447.84,11500.66,11254.92,11353.67,0
2018-11-16T20:00:00,11425.80,11448.56,11233.21,11341.00,0
2018-11-19T20:00:00,11384.00,11419.55,11231.59,11244.54,0
2018-11-20T20:00:00,11157.65,11187.16,11009.25,11066.41,0
2018-11-21T20:00:00,11138.25,11257.83,11113.34,11244.17,0
2018-11-22T20:00:00,11216.29,11221.77,11119.04,11138.49,0
2018-11-23T20:00:00,11146.55,11205.99,11093.52,11192.69,0
2018-11-26T20:00:00,11315.90,11390.93,11301.82,11354.72,0
2018-11-27T20:00:00,11380.79,11400.05,11264.65,11309.11,0
2018-11-28T20:00:00,11355.80,11358.80,11279.46,11298.88,0
2018-11-29T20:00:00,11377.21,11403.72,11275.70,11298.23,0
2018-11-30T20:00:00,11311.66,11315.30,11208.60,11257.24,0
2018-12-03T20:00:00,11534.75,11566.97,11457.61,11465.46,0
2018-12-04T20:00:00,11429.82,11442.19,11330.44,11335.32,0
2018-12-05T20:00:00,11204.32,11266.28,11177.15,11200.24,0
2018-12-06T20:00:00,11053.58,11063.44,10762.41,10810.98,0
2018-12-07T20:00:00,10876.34,10927.37,10788.09,10788.09,0
2018-12-10T20:00:00,10726.17,10757.73,10585.77,10622.07,0
2018-12-11T20:00:00,10711.40,10884.62,10684.62,10780.51,0
2018-12-12T20:00:00,10832.04,10971.12,10815.51,10929.43,0
2018-12-13T20:00:00,10978.68,10988.77,10887.26,10924.70,0
2018-12-14T20:00:00,10809.58,10903.39,10733.75,10865.77,0
2018-12-17T20:00:00,10852.99,10886.80,10700.62,10772.20,0
2018-12-18T20:00:00,10744.28,10841.42,10714.97,10740.89,0
2018-12-19T20:00:00,10777.42,10831.44,10749.55,10766.21,0
2018-12-20T20:00:00,10621.18,10686.37,10563.44,10611.10,0
